Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,application_method (product.metafields.custom.application_method),backing_plate_thread (product.metafields.custom.backing_plate_thread),badge_text (product.metafields.custom.badge_text),biodegradable (product.metafields.custom.biodegradable),brand (product.metafields.custom.brand),compatible_chemicals (product.metafields.custom.compatible_chemicals),concentrate_or_rtu (product.metafields.custom.concentrate_or_rtu),coverage (product.metafields.custom.coverage),delivery_format (product.metafields.custom.delivery_format),dilution_ratio (product.metafields.custom.dilution_ratio),featured_collection_slot (product.metafields.custom.featured_collection_slot),fit_type (product.metafields.custom.fit_type),fragrance_family (product.metafields.custom.fragrance_family),intensity_level (product.metafields.custom.intensity_level),material_composition (product.metafields.custom.material_composition),orbit_size (product.metafields.custom.orbit_size),pad_cut_level (product.metafields.custom.pad_cut_level),pad_diameter (product.metafields.custom.pad_diameter),pad_material (product.metafields.custom.pad_material),pad_size_compatibility (product.metafields.custom.pad_size_compatibility),ph_level (product.metafields.custom.ph_level),power_source (product.metafields.custom.power_source),pro_tip (product.metafields.custom.pro_tip),psi_rating (product.metafields.custom.psi_rating),recommended_pairing (product.metafields.custom.recommended_pairing),related_products (product.metafields.custom.related_products),reviews (product.metafields.custom.reviews),safe_surfaces (product.metafields.custom.safe_surfaces),scent (product.metafields.custom.scent),sds_url (product.metafields.custom.sds_url),size_guide_url (product.metafields.custom.size_guide_url),snippet (product.metafields.custom.snippet),tank_capacity (product.metafields.custom.tank_capacity),use_case (product.metafields.custom.use_case),video_url (product.metafields.custom.video_url),Color (product.metafields.shopify.color-pattern),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
fresh-n-up,Fresh N UP,"<p>RCP's Fresh N UP is a lavender-scented premium spray-and-wipe wax that makes achieving a spotless, showroom-ready finish effortless in just minutes, making it perfect for quick touch-ups between washes or as part of a full detail. Packed with a unique blend of lubricating agents, it quickly removes fingerprints, dust, light dirt, and smudges while leaving behind a deep, glossy, streak-free shine with no haze. Simply spray on and wipe off for fast, reliable results that work beautifully on paint, glass, chrome, and more. This versatile formula even doubles as a clay bar lubricant, helping you safely remove embedded contaminants during decontamination. Available in 1-gallon and 5-gallon sizes and ideal for both professionals and enthusiasts, Fresh N UP paired with a stack of plush microfiber towels takes your detailing experience to the next level.</p>",RCP America,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Cleaning > Vehicle Waxes, Polishes & Protectants > Car Wax",Spray Wax,"Featured Products, Spray Wax, Spray Wax 2",TRUE,Size,5 Gallons,,,,,,,,'6605,22680,shopify,10,deny,manual,52.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/Gemini_Generated_Image_7azusj7azusj7azu.png?v=1782160010,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_9ea1fcea2da941cd9a231ece35641503_mv2.png?v=1781634358,g,,,active
fresh-n-up,,,,,,,,,55 Gallons,,,,,,,,,249476,shopify,10,deny,manual,34.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_32acde61528942b6b3da77ed4e5d2798_mv2.png?v=1781634358,2,FRESH N UP - image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
fresh-n-up,,,,,,,,,1 Gallon,,,,,,,,'6601,4536,shopify,10,deny,manual,20.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_9ea1fcea2da941cd9a231ece35641503_mv2.png?v=1781634358,3,FRESH N UP - image 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/Gemini_Generated_Image_7azusj7azusj7azu.png?v=1782160010,g,,,
fresh-n-up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_1ee6e5fc044f4ca69eb8c492ea36e80e_mv2_8ae7196e-dc98-4d03-bbbb-6f7e881366b3.png?v=1781634358,4,FRESH N UP - image 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
final-finish,Final Finish Spray WAX,"<p>RCP's Final Finish Spray WAX is a next-level, highly concentrated spray wax and drying aid engineered to bring out an incredible shine while boosting water beading and cutting down on foam during the final rinse. Designed for automated systems, it delivers professional-grade, streak-free results in automatic conveyor tunnels through the drying agent, in-bay automatics during the sealer or spray wax cycle, and modern touch-free wash setups. As it bonds, it enhances gloss and surface depth instantly while promoting superior water beading and quick drying for a cleaner, more efficient process. Its concentrated formula means a little goes a long way, making it both effective and economical for high-volume operations. Safe for all automated wash systems and paired with the rest of RCP's wash lineup, Final Finish takes every wash to a clean, glossy, showroom-level result.</p>",RCP America,"Vehicles & Parts > Vehicle Parts & Accessories > Vehicle Maintenance, Care & Decor > Vehicle Cleaning > Vehicle Waxes, Polishes & Protectants > Car Wax",Spray Wax,"Drying Agents, Featured Products, Spray Wax, Spray Wax 2",TRUE,Size,1 Gallon,,,,,,,,'6801,4536,shopify,10,deny,manual,33.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_d6036b53b7e2444391851fbdc5bb81c5_mv2.png?v=1781634360,1,FINAL FINISH - image 2,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/FinalFinish1Gallon.png?v=1782403850,g,,,active
final-finish,,,,,,,,,5 Gallons,,,,,,,,'6805,22680,shopify,10,deny,manual,102.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_77d31bf6fe8d4242ba445aa4c7554f39_mv2_5df7a80e-14d4-457a-af15-896dba667cfc.png?v=1781634354,2,FINAL FINISH - image 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_c2b5c9d9bd4146a6935fc2ca564a17d9_mv2_23ae513a-9dca-4d80-ac97-6e80831e02d0.png?v=1781634355,g,,,
final-finish,,,,,,,,,55 Gallons,,,,,,,,,249476,shopify,10,deny,manual,56.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/FinalFinish1Gallon.png?v=1782403850,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
final-finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_c2b5c9d9bd4146a6935fc2ca564a17d9_mv2_23ae513a-9dca-4d80-ac97-6e80831e02d0.png?v=1781634355,4,FINAL FINISH - image 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
koc-86-multi-surface-cleaner,KOC-86 Multi-Surface Cleaner,"<p>RCP's KOC-86 Multi-Surface Cleaner is a powerful, all-in-one solution that cleans, disinfects, and deodorizes in a single step, making it ideal for homes, businesses, automotive shops, and commercial environments. Engineered for hard, non-porous surfaces, it kills microorganisms on contact to deliver fast, effective results wherever cleanliness matters most. EPA Certified and lab tested to kill human coronavirus (COVID-19), this eco-friendly formula provides professional-grade performance while remaining safe for use around children and pets when used as directed. It leaves surfaces clean with no harsh residue, streamlining your cleaning routine into one efficient step. Paired with the rest of RCP's disinfectant and sanitizer lineup, KOC-86 Multi-Surface Cleaner helps keep any space clean, fresh, and protected.</p>",RCP America,Uncategorized,Disinfectant/Sanitizer,Disinfectant/Sanitizer,TRUE,Size,1 Gallon,,,,,,,,KOC-86C1,4536,shopify,10,deny,manual,37.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_ae5829da673d4c8980eb43acf011b241_mv2_896db287-e25a-4c7f-844e-1206ae5a33dc.png?v=1781634353,1,KOC-86 MULTI-SURFACE CLEANER,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_ae5829da673d4c8980eb43acf011b241_mv2_896db287-e25a-4c7f-844e-1206ae5a33dc.png?v=1781634353,g,,,active
koc-86-multi-surface-cleaner,,,,,,,,,5 Gallon,,,,,,,,KOC-86C5,22680,shopify,10,deny,manual,37.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_c959eb9c4f9b48d3b275ca8013903406_mv2_770fdda6-1d2e-4fa5-9259-f057c2dc13af.png?v=1781634353,2,KOC-86 MULTI-SURFACE CLEANER - image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
koc-86-multi-surface-cleaner,,,,,,,,,55 Gallon,,,,,,,,,249476,shopify,10,deny,manual,37.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
koc-86-multi-surface-guard,Koc-86 Guard,"<p>RCP's Koc-86 Guard is a powerful one-step disinfectant, sanitizer, virucide, and deodorizer designed for fast, effective surface protection in homes, businesses, automotive environments, and high-traffic areas where cleanliness and safety matter most. Engineered for hard, non-porous surfaces, it kills microorganisms on contact while cleaning and deodorizing in a single application, with no rinsing required except on food-contact surfaces. EPA Certified and lab tested to kill COVID-19, this eco-friendly formula delivers professional-grade performance while remaining safe for use around children and pets when used as directed. Apply it easily with a cloth, mop, sponge, trigger spray, or low-pressure sprayer to fit any cleaning routine. Paired with the rest of RCP's disinfectant and sanitizer lineup, Koc-86 Guard keeps commercial, automotive, industrial, and household spaces clean and protected.</p>",RCP America,Home & Garden > Household Supplies > Household Cleaning Supplies > Household Cleaning Products > Household Disinfectants,Disinfectant/Sanitizer,"Disinfectant/Sanitizer, Featured Products",TRUE,Size,1 Gallon,,,,,,,,KOC-861A,4536,shopify,10,deny,manual,96.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_6fee980923cf480c84544bc9fabc6d6e_mv2_7ef6dd84-50f1-4e47-a1fe-4fcd3ef89174.png?v=1781634352,1,KOC-86 MULTI-SURFACE GUARD,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_6fee980923cf480c84544bc9fabc6d6e_mv2_7ef6dd84-50f1-4e47-a1fe-4fcd3ef89174.png?v=1781634352,g,,,active
koc-86-multi-surface-guard,,,,,,,,,5 Gallon,,,,,,,,KOC-865A,22680,shopify,10,deny,manual,96.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_c561d8970c83484599b6f91e31858d71_mv2_eb87034b-4b3b-4e14-aed3-d8b1752a12f3.png?v=1781634352,2,KOC-86 MULTI-SURFACE GUARD - image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
koc-86-multi-surface-guard,,,,,,,,,55 Gallon,,,,,,,,,249476,shopify,10,deny,manual,96.99,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
glass-cleaner-rtu,Glass Cleaner RTU Pink,"<p>RCP's Glass Cleaner RTU Pink is the simple, ready-to-use solution for crystal-clear surfaces, trusted by professional detailers and everyday drivers alike for fast, reliable results. Designed to deliver a streak-free finish, it easily cuts through dirt, dust, smudges, and fingerprints on glass, chrome, and mirrors while remaining completely safe for tinted windows. With no haze and no residue, it leaves behind a spotless, long-lasting shine that makes every surface look brand new, whether you're detailing a vehicle, cleaning the office, or sprucing up your home. Because it comes ready to use, there's no mixing, no dilution, and no hassle, so you can get professional-quality results with every application. For the ultimate showroom shine, use it with the two-towel method and pair it with a stack of plush microfiber towels to take your detailing experience to the next level.</p>",RCP America,Uncategorized,Glass Cleaner,"Glass Cleaner, Valentines Day Sale",TRUE,Size,1 Gallon,,,,,,,,'8001,4536,shopify,10,deny,manual,14.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/GlassCleanerRTU1Gallon.png?v=1782403923,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/GlassCleanerRTU1Gallon.png?v=1782403923,g,,,active
glass-cleaner-rtu,,,,,,,,,5 Gallons,,,,,,,,'8005,22680,shopify,10,deny,manual,35.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_40e39219aa724983b4fcb254c37da54a_mv2_1af00201-e479-4b7a-8602-439ef2a0b9a6.png?v=1781634351,2,GLASS CLEANER RTU - image 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_40e39219aa724983b4fcb254c37da54a_mv2_1af00201-e479-4b7a-8602-439ef2a0b9a6.png?v=1781634351,g,,,
glass-cleaner-rtu,,,,,,,,,55 Gallons,,,,,,,,,249476,shopify,10,deny,manual,24.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_c5e6173bad214879a22b537c8d7ff2db_mv2.png?v=1781634353,3,GLASS CLEANER RTU - image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,
glass-cleaner-rtu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_28c40f4358ff4093931da29b5b70c51b_mv2.png?v=1781634352,4,GLASS CLEANER RTU - image 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hull-cleaner,Hull Cleaner,"<p>RCP's Hull Cleaner is a safe and easy-to-use gel designed to tackle the toughest stains on your boat without harsh acids. Its thick formula clings to surfaces, including vertical areas, giving it maximum cleaning power without running or dripping, which makes it ideal for fiberglass and painted surfaces. Hull Cleaner works quickly to dissolve rust, dried fish blood, leaf stains, and other stubborn marks, leaving your boat spotless and restored. Simply apply it, let it work, and rinse for a sparkling, like-new finish. Gentle on your boat yet tough on stains, Hull Cleaner paired with RCP's Marine Soap and the rest of the marine lineup keeps your vessel looking its best season after season.</p>",RCP America,Vehicles & Parts > Vehicle Parts & Accessories > Watercraft Parts & Accessories > Watercraft Care > Watercraft Cleaners,Marine,"Marine, Valentines Day Sale",TRUE,Size,16 ounces,,,,,,,,cc2316,454,shopify,10,deny,manual,20.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/Gemini_Generated_Image_1quapu1quapu1qua.png?v=1781811878,1,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,,,active
hull-cleaner,,,,,,,,,1 Gallon,,,,,,,,cc2301,4536,shopify,10,deny,manual,41.59,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_c4d08c23f70145b0a77efc94597945f2_mv2_8e823f04-ae2c-4ed1-b4f0-aa3b8c11b329.png?v=1781634327,2,HULL CLEANER - image 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/Gemini_Generated_Image_1quapu1quapu1qua.png?v=1781811878,g,,,
hull-cleaner,,,,,,,,,5 Gallon,,,,,,,,'2305,0,shopify,10,deny,manual,94.89,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/c800c3_671546e7fc054f1dacff114d9ac26b1d_mv2_6753b53b-8a86-4842-8fcd-9c3350275416.jpg?v=1781634326,3,HULL CLEANER - image 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_c4d08c23f70145b0a77efc94597945f2_mv2_8e823f04-ae2c-4ed1-b4f0-aa3b8c11b329.png?v=1781634327,g,,,
hull-cleaner,,,,,,,,,55 Gallon,,,,,,,,,4536,shopify,10,deny,manual,701.99,,TRUE,TRUE,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_db9b1f7978624edba2099a094bb194fc_mv2_cf5f5355-76f6-4dc2-aa0f-adec38795ef4.jpg?v=1781634326,4,HULL CLEANER - image 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/c800c3_671546e7fc054f1dacff114d9ac26b1d_mv2_6753b53b-8a86-4842-8fcd-9c3350275416.jpg?v=1781634326,g,,,
hull-cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_20ba18c4de8147ada0d8bcc47d3acf90_mv2_5fedee07-fab9-4304-8044-3d9759f8252b.png?v=1781634327,5,HULL CLEANER - image 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hull-cleaner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0970/7215/2886/files/11b072_4f8fba2aa65e4ac8b7bbc65bdbcdc4b2_mv2_cd3f4a3e-ed64-4c76-b182-70eddcfdbaa6.png?v=1781634327,6,HULL CLEANER - image 6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
